Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LGA and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","LGA","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Ararat (RC)","Wyndham (C)",0
"Persons, Place of Work","Ararat (RC)","Yarra (C)",0
"Persons, Place of Work","Ararat (RC)","Yarra Ranges (S)",0
"Persons, Place of Work","Ararat (RC)","Yarriambiack (S)",0
"Persons, Place of Work","Ararat (RC)","POW Capital city undefined (Greater Melbourne)",4
"Persons, Place of Work","Ararat (RC)","Unincorporated Vic",3
"Persons, Place of Work","Ararat (RC)","POW No Fixed Address (Vic.)",113
"Persons, Place of Work","Ararat (RC)","POW State/Territory undefined (Vic.)",149
"Persons, Place of Work","Ballarat (C)","Alpine (S)",0
"Persons, Place of Work","Ballarat (C)","Ararat (RC)",155
"Persons, Place of Work","Ballarat (C)","Ballarat (C)",32118
"Persons, Place of Work","Ballarat (C)","Banyule (C)",14
"Persons, Place of Work","Ballarat (C)","Bass Coast (S)",11
"Persons, Place of Work","Ballarat (C)","Baw Baw (S)",3
"Persons, Place of Work","Ballarat (C)","Bayside (C)",4
"Persons, Place of Work","Ballarat (C)","Benalla (RC)",0
"Persons, Place of Work","Ballarat (C)","Boroondara (C)",50
"Persons, Place of Work","Ballarat (C)","Brimbank (C)",105
"Persons, Place of Work","Ballarat (C)","Buloke (S)",5
"Persons, Place of Work","Ballarat (C)","Campaspe (S)",3
"Persons, Place of Work","Ballarat (C)","Cardinia (S)",3
"Persons, Place of Work","Ballarat (C)","Casey (C)",13
"Persons, Place of Work","Ballarat (C)","Central Goldfields (S)",102
"Persons, Place of Work","Ballarat (C)","Colac-Otway (S)",38
"Persons, Place of Work","Ballarat (C)","Corangamite (S)",64
"Persons, Place of Work","Ballarat (C)","Darebin (C)",20
"Persons, Place of Work","Ballarat (C)","East Gippsland (S)",4
"Persons, Place of Work","Ballarat (C)","Frankston (C)",18
"Persons, Place of Work","Ballarat (C)","Gannawarra (S)",4
"Persons, Place of Work","Ballarat (C)","Glen Eira (C)",9
"Persons, Place of Work","Ballarat (C)","Glenelg (S)",6
"Persons, Place of Work","Ballarat (C)","Golden Plains (S)",250
"Persons, Place of Work","Ballarat (C)","Greater Bendigo (C)",56
"Persons, Place of Work","Ballarat (C)","Greater Dandenong (C)",19
"Persons, Place of Work","Ballarat (C)","Greater Geelong (C)",220
"Persons, Place of Work","Ballarat (C)","Greater Shepparton (C)",0
"Persons, Place of Work","Ballarat (C)","Hepburn (S)",584
"Persons, Place of Work","Ballarat (C)","Hindmarsh (S)",4
"Persons, Place of Work","Ballarat (C)","Hobsons Bay (C)",51
"Persons, Place of Work","Ballarat (C)","Horsham (RC)",22
"Persons, Place of Work","Ballarat (C)","Hume (C)",87
