Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"STATE (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","STATE (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","Queensland","South Gippsland (S)",13
"Persons Aged 15 Years and Over Place of Work","Queensland","Southern Grampians (S)",11
"Persons Aged 15 Years and Over Place of Work","Queensland","Stonnington (C)",74
"Persons Aged 15 Years and Over Place of Work","Queensland","Strathbogie (S)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Surf Coast (S)",9
"Persons Aged 15 Years and Over Place of Work","Queensland","Swan Hill (RC)",10
"Persons Aged 15 Years and Over Place of Work","Queensland","Towong (S)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Wangaratta (RC)",17
"Persons Aged 15 Years and Over Place of Work","Queensland","Warrnambool (C)",4
"Persons Aged 15 Years and Over Place of Work","Queensland","Wellington (S)",80
"Persons Aged 15 Years and Over Place of Work","Queensland","West Wimmera (S)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Whitehorse (C)",44
"Persons Aged 15 Years and Over Place of Work","Queensland","Whittlesea (C)",38
"Persons Aged 15 Years and Over Place of Work","Queensland","Wodonga (C)",78
"Persons Aged 15 Years and Over Place of Work","Queensland","Wyndham (C)",64
"Persons Aged 15 Years and Over Place of Work","Queensland","Yarra (C)",146
"Persons Aged 15 Years and Over Place of Work","Queensland","Yarra Ranges (S)",24
"Persons Aged 15 Years and Over Place of Work","Queensland","Yarriambiack (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Unincorporated Vic",107
"Persons Aged 15 Years and Over Place of Work","Queensland","No Fixed Address (Vic.)",276
"Persons Aged 15 Years and Over Place of Work","Queensland","Migratory - Offshore - Shipping (Vic.)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Alpine (S)",3
"Persons Aged 15 Years and Over Place of Work","South Australia","Ararat (RC)",42
"Persons Aged 15 Years and Over Place of Work","South Australia","Ballarat (C)",8
"Persons Aged 15 Years and Over Place of Work","South Australia","Banyule (C)",17
"Persons Aged 15 Years and Over Place of Work","South Australia","Bass Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Baw Baw (S)",4
"Persons Aged 15 Years and Over Place of Work","South Australia","Bayside (C)",10
"Persons Aged 15 Years and Over Place of Work","South Australia","Benalla (RC)",0
"Persons Aged 15 Years and Over Place of Work","South Australia","Boroondara (C)",47
"Persons Aged 15 Years and Over Place of Work","South Australia","Brimbank (C)",31
"Persons Aged 15 Years and Over Place of Work","South Australia","Buloke (S)",3
