Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LGA (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","LGA (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Moyne (S)",6
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Murrindindi (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Nillumbik (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Northern Grampians (S)",361
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Port Phillip (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Pyrenees (S)",52
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Queenscliffe (B)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","South Gippsland (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Southern Grampians (S)",28
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Stonnington (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Strathbogie (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Surf Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Swan Hill (RC)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Towong (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Wangaratta (RC)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Warrnambool (C)",8
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Wellington (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","West Wimmera (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Whitehorse (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Whittlesea (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Wodonga (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Wyndham (C)",3
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Yarra (C)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Yarra Ranges (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Yarriambiack (S)",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Unincorporated Vic",0
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","No Fixed Address (Vic.)",165
"Persons Aged 15 Years and Over Place of Work","Ararat (RC)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Aged 15 Years and Over Place of Work","Ballarat (C)","Alpine (S)",0
"Persons Aged 15 Years and Over Place of Work","Ballarat (C)","Ararat (RC)",227
"Persons Aged 15 Years and Over Place of Work","Ballarat (C)","Ballarat (C)",37255
"Persons Aged 15 Years and Over Place of Work","Ballarat (C)","Banyule (C)",9
"Persons Aged 15 Years and Over Place of Work","Ballarat (C)","Bass Coast (S)",5
"Persons Aged 15 Years and Over Place of Work","Ballarat (C)","Baw Baw (S)",0
