Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"STATE and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","STATE","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Queensland","Melton (S)",8
"Persons, Place of Work","Queensland","Mildura (RC)",24
"Persons, Place of Work","Queensland","Mitchell (S)",42
"Persons, Place of Work","Queensland","Moira (S)",3
"Persons, Place of Work","Queensland","Monash (C)",89
"Persons, Place of Work","Queensland","Moonee Valley (C)",34
"Persons, Place of Work","Queensland","Moorabool (S)",7
"Persons, Place of Work","Queensland","Moreland (C)",19
"Persons, Place of Work","Queensland","Mornington Peninsula (S)",74
"Persons, Place of Work","Queensland","Mount Alexander (S)",3
"Persons, Place of Work","Queensland","Moyne (S)",0
"Persons, Place of Work","Queensland","Murrindindi (S)",3
"Persons, Place of Work","Queensland","Nillumbik (S)",6
"Persons, Place of Work","Queensland","Northern Grampians (S)",4
"Persons, Place of Work","Queensland","Port Phillip (C)",139
"Persons, Place of Work","Queensland","Pyrenees (S)",4
"Persons, Place of Work","Queensland","Queenscliffe (B)",0
"Persons, Place of Work","Queensland","South Gippsland (S)",8
"Persons, Place of Work","Queensland","Southern Grampians (S)",3
"Persons, Place of Work","Queensland","Stonnington (C)",44
"Persons, Place of Work","Queensland","Strathbogie (S)",3
"Persons, Place of Work","Queensland","Surf Coast (S)",12
"Persons, Place of Work","Queensland","Swan Hill (RC)",4
"Persons, Place of Work","Queensland","Towong (S)",0
"Persons, Place of Work","Queensland","Wangaratta (RC)",4
"Persons, Place of Work","Queensland","Warrnambool (C)",8
"Persons, Place of Work","Queensland","Wellington (S)",23
"Persons, Place of Work","Queensland","West Wimmera (S)",0
"Persons, Place of Work","Queensland","Whitehorse (C)",69
"Persons, Place of Work","Queensland","Whittlesea (C)",27
"Persons, Place of Work","Queensland","Wodonga (RC)",70
"Persons, Place of Work","Queensland","Wyndham (C)",35
"Persons, Place of Work","Queensland","Yarra (C)",91
"Persons, Place of Work","Queensland","Yarra Ranges (S)",21
"Persons, Place of Work","Queensland","Yarriambiack (S)",3
"Persons, Place of Work","Queensland","POW Capital city undefined (Greater Melbourne)",152
"Persons, Place of Work","Queensland","Unincorporated Vic",126
"Persons, Place of Work","Queensland","POW No Fixed Address (Vic.)",277
"Persons, Place of Work","Queensland","POW State/Territory undefined (Vic.)",290
"Persons, Place of Work","South Australia","Alpine (S)",6
"Persons, Place of Work","South Australia","Ararat (RC)",4
"Persons, Place of Work","South Australia","Ballarat (C)",8
"Persons, Place of Work","South Australia","Banyule (C)",15
"Persons, Place of Work","South Australia","Bass Coast (S)",14
"Persons, Place of Work","South Australia","Baw Baw (S)",3
"Persons, Place of Work","South Australia","Bayside (C)",0
"Persons, Place of Work","South Australia","Benalla (RC)",0
"Persons, Place of Work","South Australia","Boroondara (C)",23
"Persons, Place of Work","South Australia","Brimbank (C)",21
"Persons, Place of Work","South Australia","Buloke (S)",0
"Persons, Place of Work","South Australia","Campaspe (S)",8
"Persons, Place of Work","South Australia","Cardinia (S)",0
"Persons, Place of Work","South Australia","Casey (C)",12
"Persons, Place of Work","South Australia","Central Goldfields (S)",0
"Persons, Place of Work","South Australia","Colac-Otway (S)",0
"Persons, Place of Work","South Australia","Corangamite (S)",3
"Persons, Place of Work","South Australia","Darebin (C)",11
